Code,Description
BB,BUNK BEDS
BD,SOFA BED DOUBLE AND BUNK BED
CB,SOFA BED TWIN
DB,DOUBLE BED
DN,1 DOUBLE BED (NON CONVERTIBLE)
EK,2 LOWER BEDS - CONVERTED TO EUROPEAN KING
FV,GUEST RM - 1 TWIN BERTH & 1 UPR BERTH. 1 BERTH VIA ROLL IN LV RM
IL,1 LOWER TWIN BED IN L SHAPE CONFIGURATION
KL,2 Lowers L Shape Convert To King
LP,LOWER PULLMAN
MB,MURPHY BED
SB,SOFA BED TWIN
SD,SOFA BED DOUBLE
SF,SOFA BED 1 ADULT OR 2 SMALL CHILD UNDER 100 LBS MAX EACH
SK,KING SOFA BED
SL,1 Single Sofa and 2 Lower Twin Beds in L Shape Configuration
SM,1 Single Sofa and 1 Double Murphy Bed
SQ,SOFA BED QUEEN
TD,SOFA AND TRUNDLE
UF,"1 KING BED, 2 TWIN BEDS THAT CONVERT TO ROYAL KING"
1K,1 KING BED
1Q,QUEEN SIZE BED
1T,1 LOWER TWIN BED
2C,2 LOWER TWIN BEDS - CONVERTED TO QUEEN
2K,2 LOWERS CONVERT TO KING SIZE BED
2L,2 LOWER TWIN BED IN L SHAPE CONFIGURATION
2Q,2 ROYAL QUEEN BEDS
2S,TWO SOFA BEDS
2T,2 LOWER TWIN BEDS
2X,2 SOFAS-1SINGLE/DOUBLE
3L,3 LWR L SHAPE NO CONVERT
3T,3 LOWER TWIN BEDS
4B,Queen bed & dbl sofa bed
4K,Convertible King Bed and Double Sofa Bed
4L,4 LOWER TWINS CONVERT
4N,2 TWIN CONVERT TO DBL BED AND 2 SGL NON CONVERT MURPHY BEDS
8L,8 Lower Berths
